상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번주소,도로명코드,도로명,건물관리번호,도로명주소,우편번호,층정보
MA010120220806881427,뚜레쥬르비하,계룡점,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,43,충청북도,43113,청주시 흥덕구,43113760,강서1동,4311313800,비하동,4.31131380010755e+18,1,대지,충청북도 청주시 흥덕구 비하동 755,431134511056,충청북도 청주시 흥덕구 2순환로1168번길,4.31131380010755e+24,충청북도 청주시 흥덕구 2순환로1168번길 26,28364.0,1.0
MA010120220810042302,세븐일레븐청주현도,산단점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,43,충청북도,43112,청주시 서원구,43112320,현도면,4311232026,현도면,4.3112320261048095e+18,1,대지,충청북도 청주시 서원구 현도면 선동리 481-4,431123236067,충청북도 청주시 서원구 현도면 청남로,4.31123202610481e+24,충청북도 청주시 서원구 현도면 청남로 332-1,28215.0,1.0
MA010120220813705661,지에스25가경,휴먼시아점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,43,충청북도,43113,청주시 흥덕구,43113747,가경동,4311311300,가경동,4.3113113001201e+18,1,대지,충청북도 청주시 흥덕구 가경동 2010,431134511591,충청북도 청주시 흥덕구 서현중로32번길,4.3113113001201e+24,충청북도 청주시 흥덕구 서현중로32번길 21,28384.0,1.0
MA010120220806975026,손문갈매기,연수점,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56113,한식 육류 요리 전문점,43,충청북도,43130,충주시,43130630,연수동,4313011800,연수동,4.3130118001073e+18,1,대지,충청북도 충주시 연수동 730-11,431303238046,충청북도 충주시 연원로,4.3130118001073e+24,충청북도 충주시 연원로 33,27347.0,1.0
MA010120220812555633,미용가로데오,2호점,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,43,충청북도,43111,청주시 상당구,43111545,성안동,4311110200,북문로1가,4.31111020010132e+18,1,대지,충청북도 청주시 상당구 북문로1가 132-1,431114508336,충청북도 청주시 상당구 상당로91번길,4.31111020010132e+24,충청북도 청주시 상당구 상당로91번길 39-5,28525.0,2.0
MA010120220800046507,뉴에라/현대,충청점,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47419,기타 의복 소매업,43,충청북도,43113,청주시 흥덕구,43113741,복대1동,4311311400,복대동,4.3113114001338e+18,1,대지,충청북도 청주시 흥덕구 복대동 3380,431133236058,충청북도 청주시 흥덕구 직지대로,4.31131140010584e+24,충청북도 청주시 흥덕구 직지대로 308,28424.0,1.0
MA010120220806967460,킹콩부대찌개충북;92막창,혁신점,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,43,충청북도,43770,음성군,43770330,맹동면,4377033028,맹동면,4.3770330281137695e+18,1,대지,충청북도 음성군 맹동면 두성리 1377,437703247042,충청북도 음성군 맹동면 원중로,4.37703302811377e+24,충청북도 음성군 맹동면 원중로 1406,27738.0,1.0
MA010120220802515528,용두,직영점,G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업,G47312,통신기기 소매업,43,충청북도,43150,제천시,43150560,용두동,4315011100,하소동,4.31501110010079e+18,1,대지,충청북도 제천시 하소동 79-8,431504517625,충청북도 제천시 용두대로15길,4.31501110010079e+24,충청북도 제천시 용두대로15길 4,27162.0,1.0
MA010120220813147520,예랑헤어샵예랑,대리점,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,43,충청북도,43111,청주시 상당구,43111670,영운동,4311111900,영운동,4.31111190010174e+18,1,대지,충청북도 청주시 상당구 영운동 174-1,431113236037,충청북도 청주시 상당구 영운로,4.31111190010174e+24,충청북도 청주시 상당구 영운로 18,28713.0,1.0
MA010120220812657890,떡군이네떡볶이,복대점,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,43,충청북도,43113,청주시 흥덕구,43113741,복대1동,4311311400,복대동,4.3113114001296097e+18,1,대지,충청북도 청주시 흥덕구 복대동 2961,431133237081,충청북도 청주시 흥덕구 진재로,4.31131140012961e+24,충청북도 청주시 흥덕구 진재로 32,28420.0,1.0
