가격,종가,고가,저가,시가,거래량,시가총액
날짜,,,,,,
2020-01-02,28.68400002,28.71333313,28.11400032,28.29999924,142981500 ,95397797037 
2020-01-03,29.5340004,30.26666641,29.12800026,29.36666679,266677500 ,98224744598 
2020-01-06,30.10266685,30.10400009,29.33333206,29.36466789,151995000 ,100116026404 
2020-01-07,31.27066612,31.44199944,30.22400093,30.76000023,268231500 ,104000580755 
2020-01-08,32.8093338,33.23266602,31.21533394,31.57999992,467164500 ,109117911213 
2020-01-09,32.08933258,33.25333405,31.52466774,33.13999939,426606000 ,106723317353 
2020-01-10,31.87666702,32.32933426,31.57999992,32.11933136,194392500 ,106016030164 
2020-01-13,34.99066544,35.04199982,32.79999924,32.90000153,397764000 ,116372625772 
2020-01-14,35.86133194,36.49399948,34.99333191,36.2840004,434943000 ,119268305119 
2020-01-15,34.56666565,35.85599899,34.45266724,35.31733322,260532000 ,114962479156 
2020-01-16,34.23266602,34.29733276,32.8113327,32.91666794,326050500 ,113851656772 
2020-01-17,34.03333282,34.37799835,33.54399872,33.84066772,204436500 ,113188710625 
2020-01-21,36.47999954,36.5719986,35.22733307,35.34999847,267052500 ,121325881690 
2020-01-22,37.97066879,39.6333313,37.2733345,38.12599945,470535000 ,126283578055 
2020-01-23,38.14666748,38.79999924,37.04000092,37.6166687,294765000 ,126868917864 
2020-01-24,37.6546669,38.25733185,36.95066833,38.04199982,215304000 ,125232612905 
2020-01-27,37.20133209,37.6293335,35.95199966,36.13266754,204121500 ,123724903310 
2020-01-28,37.79333115,38.45399857,37.20533371,37.89933395,176827500 ,125693785111 
2020-01-29,38.73266602,39.31999969,37.82866669,38.3793335,267022500 ,128817843024 
2020-01-30,42.72066879,43.39199829,41.20000076,42.16133118,435085500 ,142081219098 
2020-01-31,43.37133408,43.53333282,42.16799927,42.66666794,235789500 ,144245214168 
2020-02-03,52,52.40933228,44.90133286,44.91266632,705975000 ,172942596684 
2020-02-04,59.13733292,64.59933472,55.59199905,58.86399841,914082000 ,196680075298 
2020-02-05,48.97999954,56.39866638,46.9406662,54.88399887,726357000 ,162898621277 
2020-02-06,49.93066788,53.05533218,45.79999924,46.66133118,598212000 ,166060372247 
2020-02-07,49.87133408,51.31666565,48.66666794,48.70333481,255952500 ,165863038754 
2020-02-10,51.41866684,54.66600037,50.15999985,53.33333206,370338000 ,171009187717 
2020-02-11,51.62533188,52.23400116,50.53333282,51.25266647,175462500 ,171696518265 
2020-02-12,51.152668,52.65000153,50.89133453,51.85800171,180337500 ,170124523675 
2020-02-13,53.59999847,54.53333282,49,49.45600128,394339500 ,178263902276 
2020-02-14,53.33533478,54.19800186,52.3666687,52.48133469,235405500 ,177383678682 
2020-02-18,57.2266655,57.33333206,55.49066544,56.10666656,245725500 ,190325540973 
2020-02-19,61.16133118,62.98533249,60.06800079,61.56666565,381345000 ,203411527507 
2020-02-20,59.96066666,60.79999924,57.32933426,60.79666519,264523500 ,199418334432 
2020-02-21,60.06666565,60.8706665,58.69666672,60.46533203,214722000 ,199770867915 
2020-02-24,55.58599854,57.56666565,54.8133316,55.93333435,227883000 ,184868979345 
2020-02-25,53.32733154,57.10666656,52.46666718,56.59999847,259357500 ,177357061371 
2020-02-26,51.91999817,54.22066879,51.74066544,52.16666794,211282500 ,172676525061 
2020-02-27,45.26666641,49.31800079,44.59999847,48.66666794,364158000 ,150548746780 
2020-02-28,44.53266525,46.03466797,40.76800156,41.97999954,363343500 ,148107591655 
2020-03-02,49.57466888,49.57933426,45.77799988,47.4173317,302925000 ,164876383973 
2020-03-03,49.70066833,53.79866791,47.74066544,53.66666794,386760000 ,165295435361 
2020-03-04,49.96666718,51.10133362,48.31533432,50.93066788,225735000 ,166180099403 
2020-03-05,48.30266571,49.71666718,47.87133408,48.25133133,162790500 ,160645931437 
2020-03-06,46.89866638,47.1333313,45.61800003,46,189943500 ,155976483559 
2020-03-09,40.53333282,44.20000076,40.33333206,40.35933304,256105500 ,134806535211 
2020-03-10,43.02199936,44.53333282,40.53333282,43.9620018,233916000 ,143083390071 
2020-03-11,42.2820015,43.5719986,40.8666687,42.68000031,199837500 ,140622290992 
2020-03-12,37.36999893,39.6333313,36.41666794,38.72600174,283636500 ,124285858718 
2020-03-13,36.44133377,40.50466537,33.46666718,39.66666794,339604500 ,121197286326 
2020-03-16,29.67133331,32.99133301,29.47800064,31.29999924,307342500 ,98681489043 
2020-03-17,28.68000031,31.45666695,26.39999962,29.33399963,359919000 ,95384494725 
2020-03-18,24.08133316,26.99066734,23.36733246,25.93333244,356793000 ,80090159392 
2020-03-19,28.50933266,30.13333321,23.89733315,24.97999954,452932500 ,94816884989 
2020-03-20,28.50200081,31.79999924,28.38599968,29.21333313,424282500 ,94792500587 
2020-03-23,28.95266724,29.46666718,27.36666679,28.90666771,246817500 ,96291335630 
2020-03-24,33.66666794,34.24599838,31.60000038,31.81999969,343428000 ,111969249518 
2020-03-25,35.95000076,37.1333313,34.07400131,36.34999847,318340500 ,119563201591 
2020-03-26,35.21066666,37.33333206,34.15000153,36.49266815,260710500 ,117104310049 
2020-03-27,34.29066849,35.05333328,32.93533325,33.66666794,215661000 ,114044562505 
2020-03-30,33.47533417,34.44333267,32.74866867,34.01733398,179971500 ,111332907996 
2020-03-31,34.93333435,36.19733429,33.1333313,33.41666794,266572500 ,116181952950 
2020-04-01,32.10400009,34.26333237,31.67333221,33.59999847,200298000 ,106772098842 
2020-04-02,30.29800034,32.95066833,29.76000023,32.06866837,297876000 ,100765670238 
2020-04-03,32.00066757,34.36600113,31.22599983,33.96666718,338431500 ,106428433568 
2020-04-06,34.41600037,34.73333359,33.19733429,34.08000183,223527000 ,114461393669 
2020-04-07,36.36333466,37.66666794,35.48933411,36.33333206,268797000 ,120937875374 
2020-04-08,36.58933258,37.14733124,35.55533218,36.94666672,189840000 ,121689503604 
2020-04-09,38.20000076,38.3453331,37.14066696,37.47266769,204750000 ,127046294717 
2020-04-13,43.39666748,43.46666718,38.70199966,39.34400177,337131000 ,144329468490 
2020-04-14,47.32600021,49.45866776,46.16199875,46.59799957,458647500 ,157397718608 
2020-04-15,48.65533447,50.20866776,47.33333206,49.46666718,353655000 ,161818843966 
2020-04-16,49.68066788,50.63000107,47.11466599,47.79600143,309868500 ,165228917455 
2020-04-17,50.25933456,51.66333389,49.84400177,51.48533249,196923000 ,167153458214 
2020-04-20,49.75733185,51.0379982,47.48066711,48.84666824,221199000 ,165483887959 
2020-04-21,45.78133392,50.22200012,44.91933441,48.67466736,303136500 ,152260437853 
2020-04-22,48.8073349,48.93333435,45.91400146,46.93199921,212482500 ,162324369900 
2020-04-23,47.04199982,48.93333435,46.87533188,48.50666809,198550500 ,156453184645 
2020-04-24,48.3433342,48.71533203,46.54533386,47.38733292,198180000 ,160781187472 
2020-04-27,53.25,53.29933167,49,49.17399979,310221000 ,177099870643 
2020-04-28,51.27466583,53.66666794,50.44599915,53.04266739,228330000 ,170530266407 
2020-04-29,53.36733246,53.54666519,52.21066666,52.6780014,243240000 ,177490097182 
2020-04-30,52.12533188,57.98799896,50.90000153,57.01266861,427078500 ,173359427848 
2020-05-01,46.75466537,51.51800156,45.5359993,50.33333206,487977000 ,155497562250 
2020-05-04,50.74599838,50.79999924,46.53333282,46.73333359,288556500 ,168772014069 
2020-05-05,51.2140007,53.26133347,50.81200027,52.652668,254875500 ,170328505153 
2020-05-06,52.17200089,52.65333176,50.74066544,51.76666641,166848000 ,173514640524 
2020-05-07,52.00266647,53.0933342,51.49000168,51.81399918,172915500 ,172951464892 
2020-05-08,54.62799835,54.93333435,52.46733475,52.91799927,241297500 ,181682843974 
2020-05-11,54.08599854,54.93333435,52.33333206,52.70066833,247794000 ,179880250595 
2020-05-12,53.96066666,56.21933365,53.8666687,55.1333313,238603500 ,179463419430 
2020-05-13,52.73066711,55.06666565,50.88666534,54.72200012,285982500 ,175372663377 
2020-05-14,53.55533218,53.5573349,50.93333435,52,205233000 ,178115350272 
2020-05-15,53.27799988,53.66999817,52.4366684,52.68999863,157776000 ,177192993173 
2020-05-18,54.24200058,55.64799881,53.59199905,55.18533325,174987000 ,180399085185 
2020-05-19,53.86733246,54.80466843,53.73866653,54.34466553,144547500 ,179153006766 
2020-05-20,54.3706665,55.06666565,54.11999893,54.70000076,109639500 ,180827004781 
2020-05-21,55.17333221,55.5,53.06666565,54.40000153,183819000 ,183496525786 
2020-05-22,54.45866776,55.45199966,54.1333313,54.8113327,149812500 ,181119681029 
2020-05-26,54.59133148,55.63999939,54.38066864,55.6333313,121345500 ,181560896595 
2020-05-27,54.68199921,55.18066788,52.33333206,54.72399902,173242500 ,181862441051 
2020-05-28,53.72066879,54.98333359,53.44599915,54.23400116,108834000 ,178665229935 
2020-05-29,55.66666794,55.66666794,53.61399841,53.91666794,176467500 ,185137271192 
2020-06-01,59.87333298,59.93333435,56.93999863,57.20000076,224092500 ,199127878408 
2020-06-02,58.77066803,60.57733154,58.06666565,59.64666748,203484000 ,195460614191 
2020-06-03,58.86399841,59.86266708,58.67333221,59.20800018,119242500 ,195771014168 
2020-06-04,57.62533188,59.71666718,57.22933197,59.32533264,133315500 ,191651433267 
2020-06-05,59.04399872,59.10133362,57.74666595,58.52266693,117178500 ,196369662634 
2020-06-08,63.32799911,63.33333206,60.61066818,61.26666641,212620500 ,210617473264 
2020-06-09,62.71133423,63.6293335,61.5953331,62.6673317,170823000 ,208566557365 
2020-06-10,68.33666992,68.49866486,65.5,66.12533569,278451000 ,227275406635 
2020-06-11,64.85600281,67.93066406,64.80000305,66.01333618,238747500 ,215699337233 
2020-06-12,62.35200119,65.86533356,60.84000015,65.33333588,251451000 ,207371480659 
2020-06-15,66.05999756,66.58933258,60.56666565,61.18600082,235458000 ,219703606052 
2020-06-16,65.47533417,67.52532959,64.15933228,67.45666504,210766500 ,217759121340 
2020-06-17,66.11933136,67,65.50466919,65.84733582,148362000 ,219900939546 
2020-06-18,66.93066406,67.94667053,66.29799652,66.8666687,146278500 ,222599285399 
2020-06-19,66.72666931,67.73133087,66.08933258,67.51866913,130195500 ,221920835746 
2020-06-22,66.28800201,67.25866699,66.00133514,66.66333008,95436000 ,220461907641 
2020-06-23,66.78533173,67.46666718,66.26733398,66.59200287,95479500 ,222115936329 
2020-06-24,64.05666351,66.72533417,63.54266739,66.27400208,164394000 ,213040879286 
2020-06-25,65.73200226,65.73200226,62.4766655,63.61800003,138817500 ,218612752996 
2020-06-26,63.98266602,66.33333588,63.65800095,66.31866455,132823500 ,212794776991 
2020-06-29,67.29000092,67.33333588,63.23466873,64.60066986,135396000 ,223794374792 
2020-06-30,71.98733521,72.51266479,66.91533661,67.09999847,253777500 ,239416859206 
2020-07-01,74.64199829,75.6886673,72.03333282,72.19999695,199903500 ,248245788579 
2020-07-02,80.57733154,81.8666687,79.04000092,81.43199921,258751500 ,267985633671 
2020-07-06,91.4386673,91.85266876,84.40266418,85.11266327,308548500 ,304108472303 
2020-07-07,92.65733337,95.30000305,89.11399841,93.66733551,322345500 ,308161535298 
2020-07-08,91.05867004,94.48400116,87.42266846,93.66666412,244669500 ,302844670154 
2020-07-09,92.95200348,93.90399933,90.08533478,93.13266754,175764000 ,309141554782 
2020-07-10,102.9766693,103.2613297,91.73400116,93.06666565,350064000 ,342481780550 
2020-07-13,99.80400085,119.6660004,98.0739975,110.5999985,584781000 ,331930058985 
2020-07-14,101.1200027,106,95.40000153,103.7333298,351271500 ,336306843302 
2020-07-15,103.0673294,103.3333359,97.1333313,102.8666687,245517000 ,342783299632 
2020-07-16,100.0426636,102.1139984,97.73332977,98.47733307,214512000 ,332723808033 
2020-07-17,100.0559998,102.5006638,99.33333588,100.8966675,139950000 ,332768161761 
2020-07-20,109.5333328,110,99.19999695,101.267334,256821000 ,364288057734 
2020-07-21,104.5573349,111.6666641,103.8666687,109.3286667,241608000 ,347738788461 
2020-07-22,106.1553345,108.4280014,104.1333313,106.5999985,212416500 ,353053446068 
2020-07-23,100.8713303,112.5999985,98.71800232,111.9300003,364927500 ,335479803584 
2020-07-24,94.46666718,97.66666412,91.10266876,94.40066528,290949000 ,314179052334 
2020-07-27,102.6399994,103.1959991,94.19999695,95.66666412,240730500 ,341362077271 
2020-07-28,98.43267059,104.3133316,98.2946701,100.2666702,237130500 ,327369262518 
2020-07-29,99.9406662,102.3206635,99.1333313,100.0666656,141403500 ,332384583206 
2020-07-30,99.16600037,100.8826675,98.06666565,99.19999695,114315000 ,329808184733 
2020-07-31,95.38400269,101.1366653,94.73200226,101,183123000 ,317229944357 
2020-08-03,99,100.6539993,96.29199982,96.61333466,132139500 ,329256097533 
2020-08-04,99.1333313,101.8273315,97.46666718,99.66733551,126225000 ,329699533322 
2020-08-05,99.00133514,99.98933411,97.88733673,99.53266907,74217000 ,329260537981 
2020-08-06,99.305336,101.1539993,98.48400116,99.38866425,89884500 ,330271589849 
2020-08-07,96.84733582,99.98332977,94.33399963,99.96932983,133446000 ,322096725728 
2020-08-10,94.57133484,97.16666412,92.38933563,96.53333282,112834500 ,314527158056 
2020-08-11,91.62599945,94.66666412,91,93.06666565,129387000 ,304731505169 
2020-08-12,103.6506653,105.6666641,95.66666412,98,327441000 ,344723369271 
2020-08-13,108.0666656,110.0786667,104.4840012,107.4000015,306379500 ,359410187931 
2020-08-14,110.0473328,111.253334,108.4426651,110.9993362,188664000 ,365997528583 
2020-08-17,122.3759995,123.0573349,111.5220032,111.8000031,303634500 ,407000444554 
2020-08-18,125.8059998,128.2599945,123.0073318,126.5993347,247117500 ,418408005312 
2020-08-19,125.2353363,127.4000015,122.7473297,124.3333359,183079500 ,416510081865 
2020-08-20,133.4553375,134.7993317,123.8040009,124.0453339,309177000 ,443848319477 
2020-08-21,136.665329,139.6993256,135.0033264,136.317337,322344000 ,454524170584 
2020-08-24,134.2799988,141.9333344,128.5013275,141.7519989,300954000 ,446590993685 
2020-08-25,134.889328,135.1966705,131.1999969,131.6593323,159883500 ,448617512496 
2020-08-26,143.5446625,144.3999939,136.9086609,137.3333282,213591000 ,477403589782 
2020-08-27,149.25,153.0399933,142.8333282,145.3639984,355395000 ,496378510675 
2020-08-28,147.5599976,154.5659943,145.7680054,153.0079956,301218000 ,490757868163 
2020-08-31,166.1066742,166.7133331,146.7033386,148.2033386,355123200 ,552440760802 
2020-09-01,158.3500061,167.4966736,156.8366699,167.3800049,269523300 ,526643485394 
2020-09-02,149.1233368,159.6799927,135.0399933,159.6633301,288528300 ,495957251750 
2020-09-03,135.6666718,143.9333344,134,135.7433319,262788300 ,451202817239 
2020-09-04,139.4400024,142.6666718,124.0066681,134.2700043,330965700 ,463752232766 
2020-09-08,110.0699997,122.9133301,109.9599991,118.6666641,346397100 ,366072914697 
2020-09-09,122.0933304,123,113.8366699,118.8666687,238397400 ,406060338352 
2020-09-10,123.7799988,132.9966736,120.1866684,128.7366638,254791800 ,411669892431 
2020-09-11,124.2399979,127.5,120.1666641,127.3133316,182152500 ,413199766203 
2020-09-14,139.8733368,140,124.4333344,126.9833298,249061800 ,465193424455 
2020-09-15,149.9199982,153.9799957,143.5666656,145.5200043,291894600 ,498606803427 
2020-09-16,147.2533264,152.5966644,145.1033325,146.6233368,216837900 ,489737935399 
2020-09-17,141.1433258,145.9299927,136,138.5333405,230337600 ,469417178259 
2020-09-18,147.3833313,150.3333282,142.9333344,149.3133392,259220400 ,490170308130 
2020-09-21,149.7966614,151.8933258,135.6900024,151.043335,328430400 ,498196607560 
